Time duration [s];Power [W]
60;0.0
120;0.0
180;0.0
240;0.0
300;0.0
360;0.0
420;0.0
480;0.0
540;0.0
600;0.0
660;0.0
720;0.0
780;0.0
840;0.0
900;0.0
960;0.0
1020;0.0
1080;0.0
1140;0.0
1200;0.0
1260;0.0
1320;0.0
1380;0.0
1440;0.0
1500;0.0
1560;0.0
1620;177.377
1680;141.464
1740;128.252
1800;123.392
1860;121.604
1920;120.946
1980;120.704
2040;120.615
2100;120.582
2160;120.57
2220;120.566
2280;120.564
2340;120.564
2400;120.563
2460;227.03
2520;214.988
2580;210.558
2640;208.928
2700;208.328
2760;208.108
2820;208.027
2880;207.997
2940;207.986
3000;207.982
3060;207.98
3120;207.98
3180;207.98
3240;207.979
3300;207.979
3360;207.979
3420;207.979
3480;207.979
3540;207.979
3600;207.979
3660;207.979
3720;207.979
3780;207.979
3840;207.979
3900;207.979
3960;207.979
4020;207.979
4080;207.979
4140;207.979
4200;0.0
4260;0.0
4320;0.0
4380;0.0
4440;0.0
4500;0.0
4560;0.0
4620;152.765
4680;132.643
4740;125.241
4800;122.518
4860;121.516
4920;121.147
4980;121.012
5040;120.962
5100;120.943
5160;120.937
5220;120.934
5280;120.933
5340;120.933
5400;120.933
5460;120.933
5520;120.933
5580;0.0
5640;0.0
5700;0.0
5760;0.0
5820;0.0
5880;0.0
5940;0.0
6000;0.0
6060;0.0
6120;0.0
6180;0.0
6240;0.0
6300;0.0
6360;0.0
6420;0.0
6480;0.0
6540;0.0
6600;0.0
6660;0.0
6720;0.0
6780;0.0
6840;0.0
6900;0.0
6960;0.0
7020;0.0
7080;0.0
7140;0.0
7200;0.0
7260;0.0
7320;0.0
7380;0.0
7440;0.0
7500;167.61
7560;137.024
7620;125.772
7680;121.633
7740;120.11
7800;119.55
7860;119.344
7920;119.268
7980;119.24
8040;119.23
8100;119.226
8160;119.225
8220;119.224
8280;119.224
8340;119.224
8400;0.0
8460;0.0
8520;0.0
8580;0.0
8640;0.0
8700;0.0
8760;0.0
8820;0.0
8880;0.0
8940;363.343
9000;266.731
9060;231.189
9120;218.114
9180;213.304
