Building ID;Number Apartments [-];Building Volume [m3];Reference Airflow Supply Fan [m3/s]; Reference Airflow Exhaust Fan [m3/s];Reference Power Supply Fan [W];Reference Power Exhaust Fan [W];Power Exponent Supply Fan [-];Power Exponent Exhaust Fan [-];Airflow Exponent Supply Fan [-];Power Exponent Exhaust Fan [-]; Minimum Airflow [m3/s]; Indoor CO2 Generation G [cm3/s] ;List Used Files for Household Load
1;118;11933.3976069;8.19626703277;8.19626703277;826.183716903;1534.34118853;1.11252287223;0.869975168546;0.54567550875;0.517456388799;1.63925340655;[2434.694721258661, 2345.4090469729344, 2252.81877473004, 2199.3998034148976, 2176.7852784659576, 2183.9746017021043, 2184.3626731768204, 2242.690322985472, 2183.633778493895, 1926.1425097697643, 1641.4470294968057, 1499.9575478896447, 1407.8175575750863, 1355.973291244099, 1383.2291794041564, 1446.3276306268526, 1553.6574641579825, 1656.913436532348, 1714.6060189822779, 1772.8190653067702, 1851.5082075618052, 1985.316047776967, 2196.9184432395505, 2398.1310225584616];['house_000572.csv', 'house_000029.csv', 'house_000416.csv', 'house_000661.csv', 'house_000160.csv', 'house_000690.csv', 'house_000185.csv', 'house_000062.csv', 'house_000632.csv', 'house_000740.csv', 'house_000955.csv', 'house_000047.csv', 'house_000444.csv', 'house_000698.csv', 'house_000423.csv', 'house_000226.csv', 'house_000774.csv', 'house_000008.csv', 'house_000141.csv', 'house_000516.csv', 'house_000393.csv', 'house_000130.csv', 'house_000300.csv', 'house_000106.csv', 'house_000404.csv', 'house_000710.csv', 'house_000614.csv', 'house_000042.csv', 'house_000937.csv', 'house_000676.csv', 'house_000794.csv', 'house_000282.csv', 'house_000574.csv', 'house_000025.csv', 'house_000926.csv', 'house_000125.csv', 'house_000136.csv', 'house_000099.csv', 'house_000934.csv', 'house_000592.csv', 'house_000439.csv', 'house_000881.csv', 'house_000938.csv', 'house_000816.csv', 'house_000659.csv', 'house_000360.csv', 'house_000071.csv', 'house_000885.csv', 'house_000293.csv', 'house_000368.csv', 'house_000910.csv', 'house_000660.csv', 'house_000791.csv', 'house_000159.csv', 'house_000690.csv', 'house_000962.csv', 'house_000833.csv', 'house_000157.csv', 'house_000868.csv', 'house_000889.csv', 'house_000747.csv', 'house_000675.csv', 'house_000714.csv', 'house_000409.csv', 'house_000633.csv', 'house_000631.csv', 'house_000416.csv', 'house_000864.csv', 'house_000139.csv', 'house_000724.csv', 'house_000567.csv', 'house_000913.csv', 'house_000252.csv', 'house_000012.csv', 'house_000272.csv', 'house_000600.csv', 'house_000928.csv', 'house_000677.csv', 'house_000372.csv', 'house_000193.csv', 'house_000470.csv', 'house_000826.csv', 'house_000537.csv', 'house_000712.csv', 'house_000919.csv', 'house_000485.csv', 'house_000137.csv', 'house_000027.csv', 'house_000900.csv', 'house_000594.csv', 'house_000729.csv', 'house_000190.csv', 'house_000805.csv', 'house_000036.csv', 'house_000162.csv', 'house_000841.csv', 'house_000042.csv', 'house_000097.csv', 'house_000944.csv', 'house_000609.csv', 'house_000389.csv', 'house_000191.csv', 'house_000364.csv', 'house_000579.csv', 'house_000630.csv', 'house_000928.csv', 'house_000847.csv', 'house_000244.csv', 'house_000385.csv', 'house_000926.csv', 'house_000110.csv', 'house_000861.csv', 'house_000171.csv', 'house_000703.csv', 'house_000696.csv', 'house_000184.csv', 'house_000871.csv', 'house_000750.csv']
2;125;7571.16364451;5.20013503473;5.20013503473;524.1736115;973.465278501;1.09629537107;0.920451740071;0.565754401728;0.519758285036;1.04002700695;[1544.6960510512627, 1488.0486088564107, 1429.3045590786128, 1395.4128052906624, 1381.0649829209776, 1385.6262608157544, 1385.8724733980903, 1422.8785462908538, 1385.4100249734413, 1222.0442680654367, 1041.4187546119736, 951.6505214139798, 893.1921537426439, 860.2994741093938, 877.5920169654321, 917.6249326242632, 985.7205211873404, 1051.2314418713452, 1087.8345952388788, 1124.767957763533, 1174.6924128669332, 1259.5870161103348, 1393.8385022658817, 1521.4981525628523];['house_000756.csv', 'house_000120.csv', 'house_000073.csv', 'house_000733.csv', 'house_000949.csv', 'house_000109.csv', 'house_000398.csv', 'house_000604.csv', 'house_000630.csv', 'house_000437.csv', 'house_000432.csv', 'house_000625.csv', 'house_000832.csv', 'house_000345.csv', 'house_000919.csv', 'house_000186.csv', 'house_000401.csv', 'house_000836.csv', 'house_000791.csv', 'house_000905.csv', 'house_000027.csv', 'house_000554.csv', 'house_000383.csv', 'house_000998.csv', 'house_000102.csv', 'house_000627.csv', 'house_000242.csv', 'house_000794.csv', 'house_000339.csv', 'house_000615.csv', 'house_000835.csv', 'house_000600.csv', 'house_000320.csv', 'house_000245.csv', 'house_000839.csv', 'house_000228.csv', 'house_000080.csv', 'house_000465.csv', 'house_000623.csv', 'house_000788.csv', 'house_000624.csv', 'house_000039.csv', 'house_000475.csv', 'house_000583.csv', 'house_000302.csv', 'house_000123.csv', 'house_000027.csv', 'house_000806.csv', 'house_000421.csv', 'house_000032.csv', 'house_000166.csv', 'house_000281.csv', 'house_000020.csv', 'house_000378.csv', 'house_000823.csv', 'house_000896.csv', 'house_000490.csv', 'house_000354.csv', 'house_000188.csv', 'house_000669.csv', 'house_000776.csv', 'house_000673.csv', 'house_000776.csv', 'house_000562.csv', 'house_000336.csv', 'house_000220.csv', 'house_000555.csv', 'house_000696.csv', 'house_000546.csv', 'house_000528.csv', 'house_000974.csv', 'house_000117.csv', 'house_000842.csv', 'house_000374.csv', 'house_000072.csv', 'house_000116.csv', 'house_000639.csv', 'house_000511.csv', 'house_000595.csv', 'house_000053.csv', 'house_000190.csv', 'house_000951.csv', 'house_000097.csv', 'house_000188.csv', 'house_000008.csv', 'house_000387.csv', 'house_000355.csv', 'house_000261.csv', 'house_000423.csv', 'house_000949.csv', 'house_000417.csv', 'house_000790.csv', 'house_000841.csv', 'house_000130.csv', 'house_000800.csv', 'house_000588.csv', 'house_000195.csv', 'house_000506.csv', 'house_000762.csv', 'house_000921.csv', 'house_000685.csv', 'house_000324.csv', 'house_000708.csv', 'house_000282.csv', 'house_000605.csv', 'house_000007.csv', 'house_000373.csv', 'house_000029.csv', 'house_000630.csv', 'house_000355.csv', 'house_000341.csv', 'house_000834.csv', 'house_000820.csv', 'house_000141.csv', 'house_000850.csv', 'house_000859.csv', 'house_000222.csv', 'house_000181.csv', 'house_000269.csv', 'house_000915.csv', 'house_000452.csv', 'house_000773.csv', 'house_000811.csv', 'house_000054.csv', 'house_000200.csv']
3;70;12685.3755363;8.71275128268;8.71275128268;878.245329294;1631.02704012;1.12778697902;1.14027137975;0.592882069692;0.55701924983;1.74255025654;[2588.115964349851, 2493.203991613011, 2394.7791830967913, 2337.9940382272143, 2313.9544686928944, 2321.596824047706, 2322.009349679873, 2384.01249131183, 2321.2345240112845, 2047.5175534823866, 1744.8821096877014, 1594.476729112609, 1496.530576847216, 1441.4193663206381, 1470.3927725771366, 1537.4673456270118, 1651.5605225610486, 1761.3231257256903, 1822.6511815018337, 1884.5324979602558, 1968.1802027476417, 2110.4198865947415, 2335.356316205212, 2549.248219866163];['house_000446.csv', 'house_000951.csv', 'house_000396.csv', 'house_000968.csv', 'house_000766.csv', 'house_000800.csv', 'house_000124.csv', 'house_000286.csv', 'house_000738.csv', 'house_000636.csv', 'house_000808.csv', 'house_000514.csv', 'house_000785.csv', 'house_000398.csv', 'house_000837.csv', 'house_000404.csv', 'house_000597.csv', 'house_000456.csv', 'house_000812.csv', 'house_000670.csv', 'house_000951.csv', 'house_000867.csv', 'house_000953.csv', 'house_000694.csv', 'house_000448.csv', 'house_000671.csv', 'house_000145.csv', 'house_000461.csv', 'house_000937.csv', 'house_000188.csv', 'house_000528.csv', 'house_000820.csv', 'house_000783.csv', 'house_000884.csv', 'house_000750.csv', 'house_000320.csv', 'house_000184.csv', 'house_000205.csv', 'house_000100.csv', 'house_000685.csv', 'house_000486.csv', 'house_000809.csv', 'house_000573.csv', 'house_000341.csv', 'house_000278.csv', 'house_000625.csv', 'house_000226.csv', 'house_000450.csv', 'house_000919.csv', 'house_000565.csv', 'house_000622.csv', 'house_000858.csv', 'house_000022.csv', 'house_000060.csv', 'house_000501.csv', 'house_000555.csv', 'house_000285.csv', 'house_000173.csv', 'house_000790.csv', 'house_000994.csv', 'house_000216.csv', 'house_000241.csv', 'house_000639.csv', 'house_000815.csv', 'house_000908.csv', 'house_000580.csv', 'house_000769.csv', 'house_000953.csv', 'house_000720.csv', 'house_000384.csv']
4;120;11525.2566388;7.91594180835;7.91594180835;797.926934282;1481.86430652;1.11161351905;0.952976259626;0.4496222039;0.669434664591;1.58318836167;[2351.424332264506, 2265.1923684766334, 2175.768829179525, 2124.1768707059673, 2102.3357980806286, 2109.2792351540247, 2109.654033973909, 2165.986786415645, 2108.9500686356164, 1860.2654063094215, 1585.3069592588258, 1448.6566404711903, 1359.667982752221, 1309.59687187551, 1335.9205657897544, 1396.8609507331894, 1500.5199351386457, 1600.2443908466678, 1655.963796232247, 1712.185864809242, 1788.1837146291393, 1917.4151162428225, 2121.7803769515444, 2316.111169570831];['house_000934.csv', 'house_000672.csv', 'house_000406.csv', 'house_000381.csv', 'house_000740.csv', 'house_000953.csv', 'house_000703.csv', 'house_000893.csv', 'house_000847.csv', 'house_000660.csv', 'house_000539.csv', 'house_000912.csv', 'house_000294.csv', 'house_000965.csv', 'house_000922.csv', 'house_000936.csv', 'house_000415.csv', 'house_000066.csv', 'house_000296.csv', 'house_000315.csv', 'house_000855.csv', 'house_000167.csv', 'house_000859.csv', 'house_000920.csv', 'house_000936.csv', 'house_000336.csv', 'house_000363.csv', 'house_000162.csv', 'house_000576.csv', 'house_000547.csv', 'house_000049.csv', 'house_000884.csv', 'house_000567.csv', 'house_000330.csv', 'house_000161.csv', 'house_000063.csv', 'house_000735.csv', 'house_000498.csv', 'house_000407.csv', 'house_000622.csv', 'house_000602.csv', 'house_000505.csv', 'house_000715.csv', 'house_000137.csv', 'house_000320.csv', 'house_000694.csv', 'house_000716.csv', 'house_000892.csv', 'house_000648.csv', 'house_000704.csv', 'house_000002.csv', 'house_000823.csv', 'house_000749.csv', 'house_000215.csv', 'house_000601.csv', 'house_000793.csv', 'house_000488.csv', 'house_000265.csv', 'house_000102.csv', 'house_000633.csv', 'house_000933.csv', 'house_000336.csv', 'house_000473.csv', 'house_000226.csv', 'house_000511.csv', 'house_000793.csv', 'house_000475.csv', 'house_000590.csv', 'house_000046.csv', 'house_000584.csv', 'house_000889.csv', 'house_000219.csv', 'house_000802.csv', 'house_000487.csv', 'house_000619.csv', 'house_000858.csv', 'house_000532.csv', 'house_000928.csv', 'house_000444.csv', 'house_000765.csv', 'house_000191.csv', 'house_000133.csv', 'house_000700.csv', 'house_000617.csv', 'house_000237.csv', 'house_000710.csv', 'house_000517.csv', 'house_000283.csv', 'house_000708.csv', 'house_000614.csv', 'house_000583.csv', 'house_000746.csv', 'house_000045.csv', 'house_000591.csv', 'house_000146.csv', 'house_000266.csv', 'house_000320.csv', 'house_000548.csv', 'house_000136.csv', 'house_000416.csv', 'house_000921.csv', 'house_000212.csv', 'house_000318.csv', 'house_000779.csv', 'house_000218.csv', 'house_000230.csv', 'house_000508.csv', 'house_000202.csv', 'house_000352.csv', 'house_000947.csv', 'house_000343.csv', 'house_000171.csv', 'house_000235.csv', 'house_000754.csv', 'house_000459.csv', 'house_000200.csv', 'house_000927.csv', 'house_000429.csv', 'house_000703.csv', 'house_000294.csv']
5;120;12537.9625522;8.61150298591;8.61150298591;868.03950098;1612.07335896;1.08015940826;1.13496798069;0.541166406503;0.558850649929;1.72230059718;[2558.040236863474, 2464.231207992577, 2366.9501649643057, 2310.8249034098108, 2287.0646905782673, 2294.6182363897005, 2295.025968183931, 2356.308589709097, 2294.260146534474, 2023.7239596827446, 1724.6053525602424, 1575.9477882735123, 1479.1398391738392, 1424.6690596681558, 1453.3057745696588, 1519.6008939134013, 1632.3682279003717, 1740.8553124304365, 1801.470693072158, 1862.632905117973, 1945.3085647540986, 2085.8953234509886, 2308.217833572568, 2519.6241629027472];['house_000968.csv', 'house_000686.csv', 'house_000704.csv', 'house_000123.csv', 'house_000022.csv', 'house_000769.csv', 'house_000226.csv', 'house_000959.csv', 'house_000549.csv', 'house_000906.csv', 'house_000146.csv', 'house_000599.csv', 'house_000928.csv', 'house_000943.csv', 'house_000157.csv', 'house_000916.csv', 'house_000812.csv', 'house_000440.csv', 'house_000028.csv', 'house_000360.csv', 'house_000654.csv', 'house_000825.csv', 'house_000838.csv', 'house_000756.csv', 'house_000612.csv', 'house_000407.csv', 'house_000678.csv', 'house_000341.csv', 'house_000218.csv', 'house_000662.csv', 'house_000787.csv', 'house_000390.csv', 'house_000205.csv', 'house_000442.csv', 'house_000553.csv', 'house_000444.csv', 'house_000877.csv', 'house_000849.csv', 'house_000719.csv', 'house_000664.csv', 'house_000269.csv', 'house_000827.csv', 'house_000627.csv', 'house_000169.csv', 'house_000920.csv', 'house_000925.csv', 'house_000803.csv', 'house_000369.csv', 'house_000341.csv', 'house_000356.csv', 'house_000241.csv', 'house_000855.csv', 'house_000112.csv', 'house_000041.csv', 'house_000793.csv', 'house_000307.csv', 'house_000649.csv', 'house_000379.csv', 'house_000929.csv', 'house_000417.csv', 'house_000994.csv', 'house_000729.csv', 'house_000603.csv', 'house_000727.csv', 'house_000555.csv', 'house_000981.csv', 'house_000849.csv', 'house_000661.csv', 'house_000594.csv', 'house_000259.csv', 'house_000699.csv', 'house_000481.csv', 'house_000612.csv', 'house_000852.csv', 'house_000560.csv', 'house_000962.csv', 'house_000768.csv', 'house_000831.csv', 'house_000703.csv', 'house_000894.csv', 'house_000881.csv', 'house_000399.csv', 'house_000792.csv', 'house_000542.csv', 'house_000919.csv', 'house_000543.csv', 'house_000540.csv', 'house_000457.csv', 'house_000207.csv', 'house_000615.csv', 'house_000589.csv', 'house_000816.csv', 'house_000896.csv', 'house_000269.csv', 'house_000057.csv', 'house_000285.csv', 'house_000573.csv', 'house_000141.csv', 'house_000416.csv', 'house_000429.csv', 'house_000772.csv', 'house_000501.csv', 'house_000219.csv', 'house_000478.csv', 'house_000738.csv', 'house_000158.csv', 'house_000728.csv', 'house_000455.csv', 'house_000774.csv', 'house_000667.csv', 'house_000059.csv', 'house_000466.csv', 'house_000628.csv', 'house_000699.csv', 'house_000521.csv', 'house_000979.csv', 'house_000942.csv', 'house_000990.csv', 'house_000917.csv', 'house_000898.csv']
6;98;13723.5389955;9.42579757637;9.42579757637;950.120395698;1764.5093063;1.18081756113;1.13829315686;0.491659760055;0.449642010122;1.88515951527;[2799.9258090412795, 2697.246297878163, 2590.766462580776, 2529.3340558105424, 2503.327102449666, 2511.594903543029, 2512.041190023352, 2579.118631254069, 2511.202953090821, 2215.0851512948057, 1887.68220587684, 1724.9677399519462, 1619.0057338433633, 1559.3842551900154, 1590.7288274854018, 1663.292743013023, 1786.723236520052, 1905.468744720431, 1971.8158514773272, 2038.7614974360124, 2129.254879775665, 2283.1353732926586, 2526.4804642141016, 2757.8771518643443];['house_000391.csv', 'house_000945.csv', 'house_000369.csv', 'house_000588.csv', 'house_000150.csv', 'house_000409.csv', 'house_000983.csv', 'house_000030.csv', 'house_000928.csv', 'house_000042.csv', 'house_000933.csv', 'house_000475.csv', 'house_000982.csv', 'house_000738.csv', 'house_000650.csv', 'house_000108.csv', 'house_000369.csv', 'house_000489.csv', 'house_000479.csv', 'house_000347.csv', 'house_000036.csv', 'house_000630.csv', 'house_000720.csv', 'house_000895.csv', 'house_000058.csv', 'house_000542.csv', 'house_000392.csv', 'house_000253.csv', 'house_000682.csv', 'house_000190.csv', 'house_000873.csv', 'house_000666.csv', 'house_000635.csv', 'house_000863.csv', 'house_000804.csv', 'house_000304.csv', 'house_000164.csv', 'house_000477.csv', 'house_000932.csv', 'house_000035.csv', 'house_000028.csv', 'house_000804.csv', 'house_000220.csv', 'house_000427.csv', 'house_000467.csv', 'house_000356.csv', 'house_000240.csv', 'house_000416.csv', 'house_000258.csv', 'house_000064.csv', 'house_000476.csv', 'house_000684.csv', 'house_000027.csv', 'house_000170.csv', 'house_000884.csv', 'house_000046.csv', 'house_000760.csv', 'house_000671.csv', 'house_000152.csv', 'house_000540.csv', 'house_000337.csv', 'house_000812.csv', 'house_000870.csv', 'house_000464.csv', 'house_000198.csv', 'house_000052.csv', 'house_000378.csv', 'house_000436.csv', 'house_000736.csv', 'house_000800.csv', 'house_000937.csv', 'house_000764.csv', 'house_000351.csv', 'house_000799.csv', 'house_000609.csv', 'house_000168.csv', 'house_000133.csv', 'house_000159.csv', 'house_000423.csv', 'house_000006.csv', 'house_000628.csv', 'house_000216.csv', 'house_000265.csv', 'house_000053.csv', 'house_000290.csv', 'house_000120.csv', 'house_000645.csv', 'house_000807.csv', 'house_000282.csv', 'house_000110.csv', 'house_000871.csv', 'house_000155.csv', 'house_000512.csv', 'house_000323.csv', 'house_000268.csv', 'house_000204.csv', 'house_000386.csv', 'house_000672.csv']
7;76;10184.635184;6.99515698287;6.99515698287;705.111823873;1309.49338719;1.10787405759;0.990801295479;0.543903152044;0.670303956929;1.39903139657;[2077.9059189357376, 2001.704484129748, 1922.682718875367, 1877.0919531378827, 1857.7914409073271, 1863.9272152099916, 1864.2584173139935, 1914.0385263834175, 1863.6363374438943, 1643.8787527724394, 1400.9035582282916, 1280.148447235699, 1201.5109779983547, 1157.2641543898708, 1180.5258679998444, 1234.377648318133, 1325.978987256194, 1414.1034631047473, 1463.3415698393044, 1513.0238698257315, 1580.1816259994437, 1694.3807905827364, 1874.9742202860616, 2046.7003943646528];['house_000728.csv', 'house_000091.csv', 'house_000181.csv', 'house_000052.csv', 'house_000700.csv', 'house_000426.csv', 'house_000195.csv', 'house_000850.csv', 'house_000636.csv', 'house_000736.csv', 'house_000850.csv', 'house_000992.csv', 'house_000843.csv', 'house_000644.csv', 'house_000770.csv', 'house_000938.csv', 'house_000538.csv', 'house_000928.csv', 'house_000168.csv', 'house_000764.csv', 'house_000332.csv', 'house_000888.csv', 'house_000861.csv', 'house_000431.csv', 'house_000981.csv', 'house_000439.csv', 'house_000803.csv', 'house_000358.csv', 'house_000642.csv', 'house_000237.csv', 'house_000142.csv', 'house_000271.csv', 'house_000859.csv', 'house_000339.csv', 'house_000226.csv', 'house_000761.csv', 'house_000217.csv', 'house_000359.csv', 'house_000881.csv', 'house_000640.csv', 'house_000236.csv', 'house_000173.csv', 'house_000063.csv', 'house_000172.csv', 'house_000164.csv', 'house_000052.csv', 'house_000475.csv', 'house_000490.csv', 'house_000801.csv', 'house_000627.csv', 'house_000061.csv', 'house_000107.csv', 'house_000047.csv', 'house_000149.csv', 'house_000686.csv', 'house_000621.csv', 'house_000788.csv', 'house_000668.csv', 'house_000938.csv', 'house_000704.csv', 'house_000457.csv', 'house_000707.csv', 'house_000621.csv', 'house_000206.csv', 'house_000237.csv', 'house_000161.csv', 'house_000226.csv', 'house_000352.csv', 'house_000438.csv', 'house_000535.csv', 'house_000478.csv', 'house_000317.csv', 'house_000474.csv', 'house_000371.csv', 'house_000459.csv', 'house_000293.csv']
8;50;9281.04279729;6.37453872021;6.37453872021;642.553502997;1193.31364842;1.20460271635;1.06171449345;0.444283616783;0.641488238646;1.27490774404;[1893.5517486810545, 1824.1109916121343, 1752.1001270115198, 1710.5542257273378, 1692.9660768359158, 1698.5574782821727, 1698.8592957597996, 1744.222857083221, 1698.292407521448, 1498.0319650497852, 1276.6138053908353, 1166.5722248272111, 1094.9115610650656, 1054.590365839663, 1075.7882738306294, 1124.8622631109095, 1208.3366273480208, 1288.642599732996, 1333.5122457835341, 1378.7866757567542, 1439.9861196205848, 1544.0534047772508, 1708.6243805364356, 1865.1148136487154];['house_000694.csv', 'house_000055.csv', 'house_000988.csv', 'house_000205.csv', 'house_000640.csv', 'house_000576.csv', 'house_000133.csv', 'house_000049.csv', 'house_000056.csv', 'house_000429.csv', 'house_000851.csv', 'house_000673.csv', 'house_000605.csv', 'house_000098.csv', 'house_000541.csv', 'house_000320.csv', 'house_000372.csv', 'house_000782.csv', 'house_000258.csv', 'house_000719.csv', 'house_000625.csv', 'house_000423.csv', 'house_000268.csv', 'house_000166.csv', 'house_000097.csv', 'house_000730.csv', 'house_000601.csv', 'house_000191.csv', 'house_000326.csv', 'house_000705.csv', 'house_000754.csv', 'house_000176.csv', 'house_000180.csv', 'house_000385.csv', 'house_000114.csv', 'house_000494.csv', 'house_000847.csv', 'house_000197.csv', 'house_000237.csv', 'house_000037.csv', 'house_000650.csv', 'house_000917.csv', 'house_000102.csv', 'house_000711.csv', 'house_000287.csv', 'house_000414.csv', 'house_000288.csv', 'house_000882.csv', 'house_000583.csv', 'house_000597.csv']
9;92;12328.6970605;8.46777226421;8.46777226421;853.551444233;1585.16696786;1.28486722253;0.859329215008;0.498246449727;0.676180759595;1.69355445284;[2515.345138228221, 2423.101833650008, 2327.444464740532, 2272.255964673783, 2248.892322864, 2256.3197958409182, 2256.720722367225, 2316.9805032298636, 2255.9676827023472, 1989.9468936209835, 1695.8207405852843, 1549.6443528174507, 1454.4521816386737, 1400.890549405273, 1429.0493017830868, 1494.2379191185237, 1605.12310427217, 1711.799479686751, 1771.4031562833147, 1831.544537367046, 1912.840294767065, 2051.0805831298, 2269.692408266175, 2477.57024967314];['house_000014.csv', 'house_000501.csv', 'house_000332.csv', 'house_000794.csv', 'house_000006.csv', 'house_000834.csv', 'house_000475.csv', 'house_000527.csv', 'house_000677.csv', 'house_000296.csv', 'house_000665.csv', 'house_000500.csv', 'house_000931.csv', 'house_000013.csv', 'house_000791.csv', 'house_000774.csv', 'house_000203.csv', 'house_000069.csv', 'house_000245.csv', 'house_000173.csv', 'house_000357.csv', 'house_000674.csv', 'house_000811.csv', 'house_000973.csv', 'house_000263.csv', 'house_000551.csv', 'house_000054.csv', 'house_000369.csv', 'house_000876.csv', 'house_000664.csv', 'house_000575.csv', 'house_000680.csv', 'house_000522.csv', 'house_000273.csv', 'house_000362.csv', 'house_000603.csv', 'house_000496.csv', 'house_000421.csv', 'house_000699.csv', 'house_000718.csv', 'house_000854.csv', 'house_000411.csv', 'house_000073.csv', 'house_000964.csv', 'house_000798.csv', 'house_000542.csv', 'house_000740.csv', 'house_000567.csv', 'house_000293.csv', 'house_000654.csv', 'house_000493.csv', 'house_000233.csv', 'house_000375.csv', 'house_000779.csv', 'house_000699.csv', 'house_000051.csv', 'house_000135.csv', 'house_000206.csv', 'house_000645.csv', 'house_000006.csv', 'house_000798.csv', 'house_000464.csv', 'house_000696.csv', 'house_000977.csv', 'house_000350.csv', 'house_000058.csv', 'house_000889.csv', 'house_000047.csv', 'house_000330.csv', 'house_000975.csv', 'house_000149.csv', 'house_000412.csv', 'house_000356.csv', 'house_000763.csv', 'house_000982.csv', 'house_000184.csv', 'house_000592.csv', 'house_000600.csv', 'house_000169.csv', 'house_000988.csv', 'house_000402.csv', 'house_000549.csv', 'house_000245.csv', 'house_000762.csv', 'house_000591.csv', 'house_000294.csv', 'house_000546.csv', 'house_000958.csv', 'house_000784.csv', 'house_000370.csv', 'house_000135.csv', 'house_000148.csv']
10;119;9010.0118935;6.18838539366;6.18838539366;623.789247681;1158.46574569;1.32684256874;0.812854306304;0.487126189289;0.555542950577;1.23767707873;[1838.2550484034343, 1770.8421444065868, 1700.9341867898065, 1660.60153529015, 1643.527006688411, 1648.9551244799582, 1649.2481280919963, 1693.2869538988025, 1648.6977944838675, 1454.2854845876848, 1239.3333185933977, 1132.505242124785, 1062.937258559265, 1023.7935484745603, 1044.3724216989797, 1092.0133211899004, 1173.0500140492427, 1251.0108404467537, 1294.5701746080354, 1338.5224719349135, 1397.9347307868463, 1498.962977015729, 1658.7280466636657, 1810.6485468009673];['house_000114.csv', 'house_000340.csv', 'house_000410.csv', 'house_000601.csv', 'house_000909.csv', 'house_000244.csv', 'house_000938.csv', 'house_000696.csv', 'house_000229.csv', 'house_000908.csv', 'house_000515.csv', 'house_000148.csv', 'house_000253.csv', 'house_000014.csv', 'house_000287.csv', 'house_000263.csv', 'house_000892.csv', 'house_000008.csv', 'house_000204.csv', 'house_000416.csv', 'house_000544.csv', 'house_000850.csv', 'house_000866.csv', 'house_000695.csv', 'house_000683.csv', 'house_000963.csv', 'house_000605.csv', 'house_000902.csv', 'house_000816.csv', 'house_000526.csv', 'house_000416.csv', 'house_000151.csv', 'house_000985.csv', 'house_000168.csv', 'house_000942.csv', 'house_000366.csv', 'house_000998.csv', 'house_000355.csv', 'house_000003.csv', 'house_000678.csv', 'house_000133.csv', 'house_000156.csv', 'house_000237.csv', 'house_000589.csv', 'house_000827.csv', 'house_000244.csv', 'house_000512.csv', 'house_000419.csv', 'house_000210.csv', 'house_000250.csv', 'house_000907.csv', 'house_000722.csv', 'house_000128.csv', 'house_000851.csv', 'house_000076.csv', 'house_000264.csv', 'house_000983.csv', 'house_000731.csv', 'house_000099.csv', 'house_000079.csv', 'house_000389.csv', 'house_000549.csv', 'house_000842.csv', 'house_000963.csv', 'house_000152.csv', 'house_000985.csv', 'house_000577.csv', 'house_000631.csv', 'house_000939.csv', 'house_000600.csv', 'house_000933.csv', 'house_000329.csv', 'house_000665.csv', 'house_000602.csv', 'house_000672.csv', 'house_000263.csv', 'house_000766.csv', 'house_000538.csv', 'house_000978.csv', 'house_000735.csv', 'house_000122.csv', 'house_000880.csv', 'house_000139.csv', 'house_000627.csv', 'house_000645.csv', 'house_000872.csv', 'house_000503.csv', 'house_000218.csv', 'house_000786.csv', 'house_000723.csv', 'house_000920.csv', 'house_000648.csv', 'house_000264.csv', 'house_000226.csv', 'house_000633.csv', 'house_000302.csv', 'house_000176.csv', 'house_000901.csv', 'house_000859.csv', 'house_000464.csv', 'house_000616.csv', 'house_000194.csv', 'house_000618.csv', 'house_000697.csv', 'house_000315.csv', 'house_000212.csv', 'house_000839.csv', 'house_000011.csv', 'house_000412.csv', 'house_000525.csv', 'house_000798.csv', 'house_000504.csv', 'house_000330.csv', 'house_000599.csv', 'house_000236.csv', 'house_000657.csv', 'house_000935.csv', 'house_000364.csv', 'house_000842.csv']
