Time [s];Total Power [W];CO2 Level [ppm]
0;5105299.30392;423.993285384
60;4919505.05992;446.105913563
120;5057229.55792;466.485298452
180;4990814.85492;485.2672988
240;5126693.89992;502.577123969
300;5161253.53292;518.530168712
360;5122529.18592;533.232782509
420;5009000.87292;546.782978606
480;5026766.68692;559.27108746
540;5092179.76392;570.780358972
600;5076189.63492;581.387517507
660;5054353.11192;591.163273409
720;4805242.99792;600.172794417
780;4871442.25192;608.476140129
840;4864694.15792;616.128662411
900;4897854.45892;623.181374415
960;4855872.16792;629.681290675
1020;4866601.28992;635.671740538
1080;4855044.99792;641.192657033
1140;4781660.54892;646.280843092
1200;4881832.47892;650.970216902
1260;4868009.41892;655.292038026
1320;4864465.32692;659.275115802
1380;4861926.88592;662.946001403
1440;4864535.01892;666.329164838
1500;4903554.81692;669.44715809
1560;4913369.24692;672.320765456
1620;4871877.28292;674.969142105
1680;4914334.10292;677.409941777
1740;4924223.79892;679.659434471
1800;4933340.41292;681.732614911
1860;4918955.58592;683.6433025
1920;4877321.55992;685.404233452
1980;4886025.26192;687.027145694
2040;4857000.26392;688.522857116
2100;4801748.97992;689.901337685
2160;4786317.75292;691.171775907
2220;4718459.27392;692.342640084
2280;4611046.94892;693.421734763
2340;4657770.35692;694.416252762
2400;4575304.78992;695.332823122
2460;4519131.33992;696.177555294
2520;4566049.95292;696.956079868
2580;4638443.77592;697.673586104
2640;4629383.28892;698.33485653
2700;4727420.17892;698.944298815
2760;4816543.60592;699.505975159
2820;4844359.76592;700.023629364
2880;4843979.14392;700.500711796
2940;4806412.12792;700.940402382
3000;4756817.14192;701.345631808
3060;4831986.15592;701.719101055
3120;4808272.98192;702.063299403
3180;4914131.46592;702.380521027
3240;4911631.53292;702.672880284
3300;4871367.56392;702.942325812
3360;4959375.38992;703.190653516
3420;4865692.07092;703.419518544
3480;4892928.31592;703.630446312
3540;4901944.93892;702.944955504
3600;4787646.30092;702.313196851
3660;4779013.80192;701.730958475
3720;4860617.10392;701.19435866
3780;4909827.40692;700.699819968
3840;4966048.07192;700.24404539
3900;4951065.02492;699.823996364
3960;4909960.59092;699.43687251
4020;5024146.42592;699.080092965
4080;4957039.76692;698.751279172
4140;4987861.24792;698.448239023
4200;4869329.88792;698.168952244
4260;4810950.59292;697.911556921
4320;4904240.07992;697.674337092
4380;4843086.71092;697.455711303
4440;4845470.03192;697.254222065
4500;4873584.01192;697.068526134
4560;4912295.15692;696.897385561
4620;4866663.29392;696.739659433
4680;4849603.54592;696.59429627
4740;4813528.03592;696.460327011
4800;4943809.92192;696.336858558
4860;4940106.51792;696.223067817
4920;4807051.92192;696.118196214
4980;4827004.31592;696.021544635
5040;4788539.68692;695.932468767
5100;4785260.32992;695.8503748
5160;5008910.94492;695.774715472
5220;5014938.93092;695.704986416
5280;4908034.06592;695.6407228
5340;4926484.52492;695.581496229
5400;5064085.89592;695.526911886
5460;5040176.66392;695.476605902
5520;4959267.32692;695.430242929
5580;4850159.08492;695.387513905
5640;4903001.77092;695.348133994
5700;4896630.20292;695.311840687
5760;4891521.77992;695.278392049
5820;4864015.74392;695.247565111
5880;4825312.50592;695.219154381
5940;4857095.77392;695.192970472
6000;4897333.05192;695.168838844
6060;4922760.62192;695.146598637
6120;4931041.27992;695.126101599
6180;4939867.40792;695.107211099
6240;4866923.22992;695.089801217
6300;4906773.32992;695.073755899
6360;4907449.05792;695.058968192
6420;4955095.67692;695.045339523
6480;5009812.05292;695.032779047
6540;5033412.78792;695.021203039
6600;5064481.98292;695.010534337
6660;4914666.80892;695.000701825
6720;4918506.46892;694.991639964
6780;4887447.99092;694.983288351
6840;4783474.88392;694.975591317
6900;4682790.18192;694.968497556
6960;4838326.76492;694.961959785
7020;4954255.44292;694.955934426
7080;4941381.00092;694.950381316
7140;4912616.30892;694.032810309
7200;4791264.27492;693.187160915
7260;4743815.02392;692.407795616
7320;4713834.92892;691.689518791
7380;4773605.94592;691.027542087
7440;4630610.48892;690.417452484
7500;4628051.25892;689.85518288
7560;4717095.56692;689.336984976
7620;4793535.67592;688.859404281
7680;4899747.34492;688.419257086
7740;4847654.50892;688.013609236
7800;4847564.44392;687.639756569
7860;4821694.72292;687.295206888
7920;4927897.50192;686.977663346
7980;4837015.92692;686.685009131
8040;4834720.71492;686.415293357
8100;4868921.05692;686.166718056
8160;4726510.53792;685.937626192
8220;4654682.07492;685.726490614
8280;4639379.59892;685.531903874
8340;4753243.88192;685.352568845
8400;4807921.69992;685.187290073
8460;4725975.93792;685.034965807
8520;4758348.94392;684.894580657
8580;4680692.52192;684.765198819
8640;4706494.87292;684.645957843
8700;4680549.00992;684.536062878
8760;4587744.95092;684.434781376
8820;4625062.76692;684.341438208
8880;4754534.60192;684.255411163
8940;4821056.68892;684.176126802
9000;4836452.33492;684.10305663
9060;4882449.82392;684.035713579
9120;4920905.36592;683.973648757
9180;4947335.91292;683.916448458
9240;4964550.32992;683.863731401
9300;4927550.20492;683.815146192
9360;5029731.75092;683.770368979
9420;5063074.43492;683.729101294
9480;5059635.48092;683.691068063
9540;4994773.24692;683.656015773
9600;5090045.70492;683.623710782
9660;5063611.68992;683.593937758
9720;5066760.78492;683.56649825
9780;4993958.51692;683.541209361
9840;4930982.53392;683.517902529
9900;5044596.72392;683.496422404
9960;5082138.38592;683.476625811
10020;5112224.46792;683.4583808
10080;5090195.42692;683.441565761
10140;5098740.82392;683.426068615
10200;5043990.37392;683.41178607
10260;5129636.06192;683.398622928
10320;5085747.25292;683.386491454
10380;5099934.79292;683.375310789
10440;5093554.52092;683.36500641
10500;5094705.72092;683.355509638
10560;5107650.61192;683.346757175
